,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-03-07,48,18,,,7,,19,,,,,3636,1189,,101,529,213,214,6,25,26,661
2017-03-08,63,25,,,13,,29,,,,,4071,1142,,131,680,243,209,10,32,15,647
2017-03-09,71,14,,,20,,22,,,,,3631,1069,,132,691,218,221,10,23,14,601
2017-03-10,50,24,,,5,,20,,,,,3414,1120,,111,567,204,223,8,26,10,702
2017-03-11,60,14,,,13,,19,,,,,3525,1263,,77,487,155,190,8,39,9,812
2017-03-12,97,21,,,9,,29,,,,,3153,917,,84,463,182,173,4,29,15,469
2017-03-13,90,24,,,13,,17,,,,,3334,1052,,101,502,215,224,6,23,14,541
2017-03-14,74,19,,,14,,16,,,,,3418,967,,127,546,198,199,8,27,19,519
2017-03-15,85,30,,,26,,26,,,,,3425,975,,109,538,191,223,6,29,19,475
2017-03-16,115,20,,,9,,33,,,,,3227,1065,,114,487,212,194,13,32,7,507
2017-03-17,67,26,,,19,,16,,,,,2989,909,,106,493,198,159,13,27,28,426
2017-03-18,56,18,,,14,,15,,,,,2768,784,,70,436,154,150,18,23,16,398
2017-03-19,122,18,,,6,,19,,,,,2894,892,,86,481,153,175,7,37,9,380
2017-03-20,71,26,,,12,,20,,,,,4318,1901,,93,549,200,197,7,37,10,852
2017-03-21,82,23,,,10,,34,,,,,5105,1759,,111,568,230,221,12,53,20,805
2017-03-22,66,34,,,8,,16,,,,,3531,1250,,101,546,248,265,5,25,25,580
2017-03-23,87,17,,,10,,21,,,,,3626,1097,,103,504,241,233,13,33,37,542
2017-03-24,63,16,,,9,,26,,,,,3112,928,,80,483,174,204,6,20,11,477
2017-03-25,83,23,,,13,,39,,,,,2672,839,,73,427,115,137,12,28,21,629
2017-03-26,68,15,,,7,,13,,,,,3322,1540,,59,483,123,254,5,17,10,783
2017-03-27,71,16,,,6,,20,,,,,3427,1199,,86,511,176,191,6,38,18,507
