,en,en,en,en,en,en,en,en,en,en,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw
,Economy_of_Rwanda,Education_in_Rwanda,Kigali,Kinyarwanda,Louise_Mushikiwabo,Paul_Kagame,Rose_Kabuye,Rwanda,Rwanda,Umuganda,Agnes_Binagwaho,Ikinyarwanda,Kigali,Louise_Mushikiwabo,Paul_Kagame,Paul_Rusesabagina,Rose_Kabuye,Rwanda,Rwanda,Ubukungu_bw%27U_Rwanda,Uburezi_mu_Rwanda,Umuganda
2017-01-01,11.0,99.0,141.0,17.0,517.0,46.0,17.0,2711.0,,404.0,,,,,,878.0,,63.0,15.0,17.0,11.0,
2017-01-02,11.0,102.0,174.0,25.0,686.0,71.0,9.0,2911.0,,641.0,,,,,,1017.0,,87.0,13.0,19.0,6.0,
2017-01-03,4.0,153.0,199.0,25.0,431.0,65.0,11.0,3292.0,,536.0,,,,,,922.0,,100.0,13.0,15.0,8.0,
2017-01-04,5.0,127.0,202.0,18.0,377.0,71.0,19.0,2909.0,,533.0,,,,,,932.0,,83.0,15.0,12.0,10.0,
2017-01-05,9.0,172.0,205.0,35.0,501.0,89.0,13.0,2930.0,,542.0,,,,,,914.0,,85.0,19.0,15.0,5.0,
2017-01-06,6.0,152.0,233.0,28.0,536.0,74.0,14.0,3143.0,,497.0,,,,,,1010.0,,65.0,17.0,21.0,42.0,
2017-01-07,7.0,108.0,170.0,22.0,365.0,103.0,11.0,3091.0,,496.0,,,,,,824.0,,93.0,14.0,25.0,17.0,
2017-01-08,7.0,116.0,156.0,24.0,459.0,80.0,11.0,4969.0,,516.0,,,,,,879.0,,89.0,24.0,31.0,12.0,
2017-01-09,10.0,129.0,195.0,40.0,467.0,143.0,12.0,4264.0,,560.0,,,,,,1000.0,,127.0,16.0,20.0,12.0,
2017-01-10,9.0,135.0,215.0,34.0,536.0,110.0,24.0,3795.0,,563.0,,,,,,1077.0,,107.0,26.0,11.0,15.0,
2017-01-11,2.0,146.0,216.0,20.0,658.0,101.0,20.0,3520.0,,541.0,,,,,,958.0,,108.0,22.0,21.0,11.0,
2017-01-12,10.0,152.0,220.0,22.0,553.0,111.0,23.0,5365.0,,608.0,,,,,,1024.0,,83.0,21.0,26.0,16.0,
2017-01-13,12.0,141.0,187.0,17.0,733.0,85.0,19.0,4380.0,,689.0,,,,,,1024.0,,87.0,12.0,24.0,4.0,
2017-01-14,5.0,111.0,164.0,26.0,434.0,57.0,19.0,3064.0,,467.0,,,,,,804.0,,58.0,15.0,16.0,14.0,
2017-01-15,15.0,102.0,181.0,31.0,838.0,65.0,11.0,3219.0,,581.0,,,,,,1089.0,,97.0,22.0,21.0,6.0,
2017-01-16,7.0,118.0,192.0,22.0,722.0,102.0,27.0,4115.0,,629.0,,,,,,972.0,,111.0,20.0,18.0,17.0,
2017-01-17,9.0,127.0,210.0,26.0,458.0,105.0,50.0,3689.0,,575.0,,,,,,1042.0,,79.0,13.0,16.0,11.0,
2017-01-18,9.0,149.0,180.0,24.0,515.0,98.0,23.0,3759.0,,568.0,,,,,,1139.0,,109.0,19.0,5.0,7.0,
2017-01-19,9.0,152.0,197.0,34.0,532.0,79.0,16.0,3889.0,,537.0,,,,,,1213.0,,109.0,20.0,24.0,11.0,
2017-01-20,9.0,126.0,195.0,15.0,519.0,71.0,18.0,3221.0,,483.0,,,,,,1032.0,,83.0,22.0,21.0,8.0,
2017-01-21,5.0,97.0,152.0,34.0,484.0,60.0,16.0,2648.0,,406.0,,,,,,894.0,,62.0,9.0,8.0,5.0,
2017-01-22,6.0,119.0,164.0,19.0,382.0,77.0,36.0,2964.0,,487.0,,,,,,999.0,,55.0,9.0,15.0,11.0,
2017-01-23,5.0,171.0,206.0,18.0,542.0,94.0,29.0,3440.0,,590.0,,,,,,1067.0,,58.0,13.0,11.0,9.0,
2017-01-24,3.0,177.0,208.0,30.0,598.0,93.0,24.0,3716.0,,514.0,,,,,,1005.0,,56.0,32.0,17.0,7.0,
2017-01-25,5.0,171.0,206.0,30.0,731.0,86.0,21.0,3889.0,,555.0,,,,,,1065.0,,54.0,16.0,13.0,11.0,
2017-01-26,11.0,176.0,195.0,28.0,471.0,94.0,32.0,3670.0,,483.0,,,,,,978.0,,95.0,15.0,19.0,10.0,
2017-01-27,9.0,111.0,210.0,35.0,468.0,71.0,25.0,3212.0,,510.0,,,,,,889.0,,73.0,15.0,18.0,2.0,
2017-01-28,7.0,146.0,168.0,34.0,583.0,89.0,39.0,3071.0,,449.0,,,,,,814.0,,98.0,27.0,19.0,18.0,
2017-01-29,5.0,118.0,144.0,28.0,488.0,58.0,32.0,3291.0,,477.0,,,,,,910.0,,79.0,30.0,14.0,7.0,
2017-01-30,8.0,159.0,198.0,30.0,553.0,103.0,43.0,3542.0,,542.0,,,,,,1008.0,,92.0,21.0,24.0,8.0,
2017-01-31,8.0,173.0,231.0,21.0,596.0,96.0,29.0,3295.0,,477.0,,,,,,1026.0,,71.0,21.0,29.0,9.0,
2017-02-01,8.0,157.0,188.0,31.0,545.0,84.0,38.0,3232.0,,497.0,,,,,,931.0,,105.0,35.0,12.0,14.0,
2017-02-02,4.0,146.0,204.0,25.0,472.0,110.0,17.0,3404.0,,530.0,,,,,,931.0,,79.0,10.0,22.0,8.0,
2017-02-03,3.0,149.0,189.0,24.0,575.0,85.0,25.0,3264.0,,468.0,,,,,,915.0,,91.0,19.0,13.0,10.0,
2017-02-04,9.0,126.0,170.0,39.0,582.0,72.0,22.0,2656.0,,478.0,,,,,,799.0,,80.0,18.0,21.0,7.0,
2017-02-05,10.0,127.0,160.0,32.0,434.0,70.0,14.0,2900.0,,551.0,,,,,,970.0,,84.0,18.0,26.0,10.0,
2017-02-06,9.0,141.0,187.0,32.0,442.0,89.0,21.0,3143.0,,517.0,,,,,,904.0,,58.0,19.0,26.0,9.0,
2017-02-07,6.0,186.0,210.0,32.0,492.0,111.0,14.0,3441.0,,551.0,,,,,,1020.0,,87.0,25.0,26.0,8.0,
2017-02-08,5.0,156.0,218.0,29.0,436.0,94.0,19.0,3333.0,,477.0,,,,,,890.0,,81.0,21.0,11.0,4.0,
2017-02-09,12.0,151.0,220.0,35.0,514.0,104.0,9.0,3381.0,,538.0,,,,,,956.0,,105.0,26.0,8.0,19.0,
2017-02-10,3.0,143.0,279.0,32.0,519.0,87.0,12.0,3316.0,,469.0,,,,,,922.0,,99.0,12.0,8.0,10.0,
2017-02-11,7.0,105.0,173.0,34.0,384.0,88.0,26.0,2945.0,,439.0,,,,,,832.0,,109.0,23.0,19.0,20.0,
2017-02-12,10.0,138.0,186.0,30.0,720.0,89.0,15.0,3650.0,,543.0,,,,,,1069.0,,89.0,9.0,14.0,6.0,
2017-02-13,3.0,175.0,241.0,28.0,861.0,148.0,18.0,3825.0,,502.0,,,,,,1109.0,,114.0,31.0,19.0,12.0,
2017-02-14,13.0,194.0,218.0,38.0,677.0,125.0,18.0,3446.0,,491.0,,,,,,920.0,,104.0,21.0,28.0,11.0,
2017-02-15,6.0,180.0,202.0,43.0,527.0,148.0,17.0,3519.0,,495.0,,,,,,848.0,,105.0,33.0,21.0,14.0,
2017-02-16,5.0,177.0,209.0,17.0,642.0,202.0,29.0,3603.0,,489.0,,,,,,967.0,,81.0,24.0,23.0,16.0,
2017-02-17,10.0,152.0,177.0,52.0,453.0,115.0,14.0,3219.0,,485.0,,,,,,795.0,,57.0,26.0,17.0,5.0,
2017-02-18,18.0,118.0,175.0,32.0,400.0,113.0,9.0,2917.0,,442.0,,,,,,943.0,,87.0,20.0,21.0,13.0,
2017-02-19,2.0,139.0,162.0,39.0,446.0,108.0,15.0,3229.0,,482.0,,,,,,935.0,,63.0,21.0,162.0,9.0,
2017-02-20,10.0,179.0,184.0,31.0,453.0,204.0,14.0,3967.0,,628.0,,,,,,1004.0,,51.0,26.0,20.0,20.0,
2017-02-21,4.0,187.0,199.0,29.0,614.0,213.0,11.0,6624.0,,786.0,,,,,,1153.0,,164.0,16.0,30.0,10.0,
2017-02-22,6.0,191.0,200.0,31.0,511.0,132.0,16.0,4957.0,,684.0,,,,,,1034.0,,84.0,20.0,22.0,10.0,
2017-02-23,8.0,203.0,236.0,33.0,720.0,155.0,14.0,4001.0,,547.0,,,,,,1058.0,,119.0,31.0,21.0,11.0,
2017-02-24,8.0,166.0,167.0,24.0,952.0,115.0,12.0,3372.0,,530.0,,,,,,1082.0,,120.0,14.0,17.0,16.0,
2017-02-25,10.0,141.0,157.0,22.0,405.0,79.0,13.0,2917.0,,460.0,,,,,,869.0,,67.0,23.0,19.0,7.0,
2017-02-26,9.0,134.0,150.0,16.0,450.0,75.0,7.0,2982.0,,473.0,,,,,,920.0,,82.0,18.0,17.0,9.0,
2017-02-27,1.0,175.0,190.0,28.0,602.0,119.0,11.0,3788.0,,554.0,,,,,,893.0,,85.0,26.0,15.0,13.0,
2017-02-28,13.0,216.0,206.0,23.0,598.0,114.0,12.0,3644.0,,540.0,,,,,,983.0,,79.0,30.0,22.0,18.0,
2017-03-01,9.0,230.0,218.0,18.0,535.0,123.0,17.0,3349.0,,536.0,,,,,,1095.0,,88.0,21.0,20.0,4.0,
2017-03-02,9.0,201.0,187.0,34.0,606.0,114.0,15.0,3526.0,,548.0,,,,,,924.0,,72.0,25.0,27.0,9.0,
2017-03-03,5.0,183.0,192.0,35.0,542.0,77.0,15.0,4827.0,,483.0,,,,,,887.0,,56.0,27.0,18.0,6.0,
2017-03-04,10.0,134.0,158.0,43.0,387.0,77.0,19.0,3630.0,,515.0,,,,,,766.0,,52.0,17.0,18.0,10.0,
2017-03-05,6.0,176.0,162.0,19.0,478.0,73.0,8.0,3353.0,,476.0,,,,,,854.0,,168.0,20.0,119.0,15.0,
2017-03-06,10.0,243.0,235.0,32.0,624.0,102.0,15.0,3574.0,,575.0,,,,,,931.0,,55.0,11.0,24.0,14.0,
2017-03-07,6.0,213.0,214.0,25.0,661.0,101.0,26.0,3636.0,,529.0,,,,,,1189.0,,48.0,18.0,19.0,7.0,
2017-03-08,10.0,243.0,209.0,32.0,647.0,131.0,15.0,4071.0,,680.0,,,,,,1142.0,,63.0,25.0,29.0,13.0,
2017-03-09,10.0,218.0,221.0,23.0,601.0,132.0,14.0,3631.0,,691.0,,,,,,1069.0,,71.0,14.0,22.0,20.0,
2017-03-10,8.0,204.0,223.0,26.0,702.0,111.0,10.0,3414.0,,567.0,,,,,,1120.0,,50.0,24.0,20.0,5.0,
2017-03-11,8.0,155.0,190.0,39.0,812.0,77.0,9.0,3525.0,,487.0,,,,,,1263.0,,60.0,14.0,19.0,13.0,
2017-03-12,4.0,182.0,173.0,29.0,469.0,84.0,15.0,3153.0,,463.0,,,,,,917.0,,97.0,21.0,29.0,9.0,
2017-03-13,6.0,215.0,224.0,23.0,541.0,101.0,14.0,3334.0,,502.0,,,,,,1052.0,,90.0,24.0,17.0,13.0,
2017-03-14,8.0,198.0,199.0,27.0,519.0,127.0,19.0,3418.0,,546.0,,,,,,967.0,,74.0,19.0,16.0,14.0,
2017-03-15,6.0,191.0,223.0,29.0,475.0,109.0,19.0,3425.0,,538.0,,,,,,975.0,,85.0,30.0,26.0,26.0,
2017-03-16,13.0,212.0,194.0,32.0,507.0,114.0,7.0,3227.0,,487.0,,,,,,1065.0,,115.0,20.0,33.0,9.0,
2017-03-17,13.0,198.0,159.0,27.0,426.0,106.0,28.0,2989.0,,493.0,,,,,,909.0,,67.0,26.0,16.0,19.0,
2017-03-18,18.0,154.0,150.0,23.0,398.0,70.0,16.0,2768.0,,436.0,,,,,,784.0,,56.0,18.0,15.0,14.0,
2017-03-19,7.0,153.0,175.0,37.0,380.0,86.0,9.0,2894.0,,481.0,,,,,,892.0,,122.0,18.0,19.0,6.0,
2017-03-20,7.0,200.0,197.0,37.0,852.0,93.0,10.0,4318.0,,549.0,,,,,,1901.0,,71.0,26.0,20.0,12.0,
2017-03-21,12.0,230.0,221.0,53.0,805.0,111.0,20.0,5105.0,,568.0,,,,,,1759.0,,82.0,23.0,34.0,10.0,
2017-03-22,5.0,248.0,265.0,25.0,580.0,101.0,25.0,3531.0,,546.0,,,,,,1250.0,,66.0,34.0,16.0,8.0,
2017-03-23,13.0,241.0,233.0,33.0,542.0,103.0,37.0,3626.0,,504.0,,,,,,1097.0,,87.0,17.0,21.0,10.0,
2017-03-24,6.0,174.0,204.0,20.0,477.0,80.0,11.0,3112.0,,483.0,,,,,,928.0,,63.0,16.0,26.0,9.0,
2017-03-25,12.0,115.0,137.0,28.0,629.0,73.0,21.0,2672.0,,427.0,,,,,,839.0,,83.0,23.0,39.0,13.0,
2017-03-26,5.0,123.0,254.0,17.0,783.0,59.0,10.0,3322.0,,483.0,,,,,,1540.0,,68.0,15.0,13.0,7.0,
2017-03-27,6.0,176.0,191.0,38.0,507.0,86.0,18.0,3427.0,,511.0,,,,,,1199.0,,71.0,16.0,20.0,6.0,
2017-03-28,5.0,191.0,212.0,24.0,507.0,106.0,10.0,3423.0,,519.0,,,,,,1077.0,,108.0,26.0,16.0,11.0,
2017-03-29,13.0,208.0,211.0,29.0,658.0,130.0,16.0,4879.0,,470.0,,,,,,1166.0,,95.0,26.0,19.0,9.0,
2017-03-30,11.0,182.0,196.0,32.0,725.0,114.0,16.0,3204.0,,496.0,,,,,,1097.0,,66.0,16.0,23.0,9.0,
2017-03-31,15.0,183.0,187.0,37.0,568.0,88.0,24.0,3024.0,,493.0,,,,,,862.0,,65.0,18.0,20.0,8.0,
2017-04-01,9.0,116.0,139.0,33.0,417.0,72.0,16.0,2527.0,,382.0,,,,,,701.0,,57.0,21.0,12.0,9.0,
2017-04-02,7.0,165.0,150.0,21.0,376.0,56.0,7.0,3555.0,,554.0,,,,,,816.0,,83.0,17.0,18.0,10.0,
2017-04-03,7.0,268.0,177.0,16.0,660.0,99.0,15.0,3747.0,,560.0,,,,,,1072.0,,68.0,15.0,23.0,11.0,
2017-04-04,11.0,268.0,181.0,48.0,538.0,145.0,56.0,3503.0,,539.0,,,,,,1031.0,,95.0,16.0,44.0,16.0,
2017-04-05,9.0,176.0,189.0,42.0,585.0,103.0,51.0,3569.0,,560.0,,,,,,1078.0,,71.0,24.0,22.0,18.0,
2017-04-06,15.0,206.0,225.0,42.0,699.0,145.0,68.0,5554.0,,591.0,,,,,,1328.0,,70.0,10.0,15.0,14.0,
2017-04-07,18.0,139.0,217.0,46.0,756.0,130.0,58.0,5603.0,,527.0,,,,,,1537.0,,201.0,52.0,33.0,12.0,
2017-04-08,12.0,137.0,172.0,53.0,449.0,64.0,28.0,3095.0,,430.0,,,,,,1065.0,,87.0,30.0,22.0,5.0,
2017-04-09,20.0,143.0,179.0,37.0,448.0,112.0,68.0,4123.0,,457.0,,,,,,1001.0,,93.0,27.0,18.0,10.0,
2017-04-10,13.0,149.0,188.0,35.0,646.0,113.0,32.0,3663.0,,502.0,,,,,,1187.0,,106.0,30.0,29.0,10.0,
2017-04-11,15.0,199.0,223.0,52.0,668.0,132.0,52.0,3293.0,,489.0,,,,,,1077.0,,93.0,23.0,20.0,13.0,
2017-04-12,15.0,195.0,214.0,42.0,604.0,183.0,36.0,3207.0,,581.0,,,,,,994.0,,138.0,19.0,19.0,9.0,
2017-04-13,14.0,181.0,230.0,66.0,541.0,155.0,49.0,3187.0,,469.0,,,,,,1033.0,,131.0,26.0,22.0,16.0,
2017-04-14,8.0,124.0,169.0,28.0,437.0,118.0,26.0,2959.0,,461.0,,,,,,907.0,,98.0,19.0,12.0,6.0,
2017-04-15,9.0,151.0,160.0,28.0,339.0,109.0,43.0,2914.0,,516.0,,,,,,843.0,,115.0,17.0,22.0,9.0,
2017-04-16,8.0,94.0,148.0,24.0,333.0,90.0,21.0,3700.0,,458.0,,,,,,939.0,,73.0,11.0,20.0,11.0,
2017-04-17,8.0,149.0,211.0,39.0,516.0,117.0,32.0,3640.0,,521.0,,,,,,1033.0,,92.0,20.0,19.0,10.0,
2017-04-18,13.0,211.0,204.0,34.0,621.0,94.0,19.0,3654.0,,587.0,,,,,,1119.0,,94.0,17.0,16.0,12.0,
2017-04-19,7.0,222.0,216.0,40.0,791.0,174.0,51.0,3941.0,,516.0,,,,,,1143.0,,80.0,18.0,18.0,9.0,
2017-04-20,14.0,187.0,232.0,40.0,643.0,132.0,44.0,5774.0,,488.0,,,,,,1115.0,,173.0,56.0,121.0,13.0,
2017-04-21,6.0,153.0,200.0,31.0,638.0,97.0,19.0,3441.0,,502.0,,,,,,984.0,,77.0,28.0,16.0,4.0,
2017-04-22,14.0,135.0,153.0,24.0,475.0,104.0,20.0,3501.0,,450.0,,,,,,946.0,,75.0,15.0,18.0,11.0,
2017-04-23,13.0,163.0,196.0,29.0,778.0,87.0,18.0,3641.0,,496.0,,,,,,1014.0,,68.0,9.0,24.0,7.0,
2017-04-24,7.0,181.0,205.0,44.0,781.0,136.0,25.0,3843.0,,512.0,,,,,,1103.0,,68.0,17.0,21.0,6.0,
2017-04-25,7.0,209.0,192.0,31.0,604.0,123.0,29.0,3729.0,,495.0,,,,,,1238.0,,71.0,18.0,37.0,11.0,
2017-04-26,11.0,182.0,176.0,20.0,657.0,96.0,23.0,3598.0,,502.0,,,,,,1061.0,,68.0,15.0,17.0,7.0,
2017-04-27,11.0,179.0,212.0,30.0,578.0,102.0,11.0,3288.0,,495.0,,,,,,993.0,,84.0,25.0,25.0,10.0,
2017-04-28,8.0,146.0,174.0,36.0,572.0,78.0,11.0,3036.0,,459.0,,,,,,882.0,,57.0,21.0,11.0,9.0,
2017-04-29,3.0,128.0,138.0,30.0,670.0,72.0,19.0,2940.0,,379.0,,,,,,883.0,,83.0,21.0,26.0,9.0,
2017-04-30,2.0,129.0,161.0,20.0,555.0,54.0,12.0,4163.0,,487.0,,,,,,834.0,,68.0,16.0,17.0,15.0,
2017-05-01,10.0,149.0,213.0,30.0,700.0,93.0,35.0,3247.0,,595.0,,,,,,1057.0,,109.0,15.0,13.0,7.0,
2017-05-02,8.0,168.0,208.0,28.0,609.0,107.0,22.0,3289.0,,525.0,,,,,,1068.0,,133.0,17.0,39.0,6.0,
2017-05-03,8.0,189.0,192.0,36.0,769.0,110.0,19.0,3984.0,,556.0,,,,,,1118.0,,104.0,20.0,26.0,18.0,
2017-05-04,10.0,191.0,198.0,34.0,718.0,120.0,15.0,3522.0,,505.0,,,,,,1184.0,,79.0,21.0,25.0,17.0,
2017-05-05,9.0,148.0,198.0,41.0,626.0,118.0,25.0,3204.0,,475.0,,,,,,916.0,,76.0,23.0,24.0,10.0,
2017-05-06,7.0,89.0,165.0,37.0,411.0,53.0,19.0,2760.0,,392.0,,,,,,913.0,,102.0,28.0,17.0,14.0,
2017-05-07,4.0,111.0,143.0,41.0,416.0,57.0,12.0,2891.0,,447.0,,,,,,929.0,,91.0,21.0,22.0,9.0,
2017-05-08,13.0,188.0,182.0,37.0,580.0,75.0,27.0,3567.0,,567.0,,,,,,1223.0,,74.0,27.0,13.0,10.0,
2017-05-09,5.0,215.0,233.0,34.0,651.0,80.0,26.0,3504.0,,546.0,,,,,,1083.0,,70.0,13.0,15.0,8.0,
2017-05-10,9.0,174.0,206.0,39.0,768.0,96.0,15.0,4439.0,,504.0,,,,,,1003.0,,87.0,31.0,24.0,9.0,
2017-05-11,8.0,331.0,218.0,36.0,691.0,103.0,9.0,4347.0,,554.0,,,,,,1055.0,,85.0,18.0,23.0,8.0,
2017-05-12,4.0,325.0,223.0,35.0,729.0,90.0,13.0,3391.0,,489.0,,,,,,969.0,,108.0,19.0,30.0,9.0,
2017-05-13,6.0,111.0,142.0,34.0,438.0,48.0,14.0,4796.0,,411.0,,,,,,882.0,,83.0,20.0,19.0,5.0,
2017-05-14,12.0,135.0,141.0,20.0,373.0,53.0,13.0,2844.0,,404.0,,,,,,870.0,,98.0,31.0,23.0,7.0,
2017-05-15,11.0,191.0,234.0,27.0,731.0,85.0,23.0,3607.0,,507.0,,,,,,1015.0,,67.0,12.0,17.0,10.0,
2017-05-16,2.0,199.0,187.0,36.0,767.0,94.0,24.0,3460.0,,510.0,,,,,,1003.0,,76.0,27.0,17.0,7.0,
2017-05-17,9.0,220.0,195.0,41.0,1036.0,111.0,23.0,3925.0,,535.0,,,,,,1316.0,,82.0,16.0,21.0,7.0,
2017-05-18,8.0,178.0,180.0,39.0,1074.0,127.0,15.0,4698.0,,524.0,,,,,,1050.0,,86.0,27.0,22.0,16.0,
2017-05-19,14.0,183.0,223.0,40.0,835.0,67.0,19.0,3155.0,,487.0,,,,,,1065.0,,100.0,21.0,18.0,9.0,
2017-05-20,11.0,109.0,137.0,23.0,467.0,42.0,16.0,3004.0,,449.0,,,,,,1012.0,,91.0,15.0,23.0,6.0,
2017-05-21,12.0,143.0,176.0,34.0,481.0,57.0,15.0,3061.0,,448.0,,,,,,927.0,,68.0,21.0,16.0,9.0,
2017-05-22,5.0,238.0,207.0,50.0,931.0,139.0,13.0,5420.0,,532.0,,,,,,1141.0,,93.0,14.0,16.0,7.0,
2017-05-23,13.0,184.0,203.0,51.0,690.0,84.0,20.0,3194.0,,517.0,,,,,,980.0,,107.0,24.0,27.0,16.0,
2017-05-24,9.0,162.0,196.0,12.0,681.0,89.0,22.0,3127.0,,518.0,,,,,,929.0,,112.0,23.0,14.0,14.0,
2017-05-25,13.0,184.0,190.0,29.0,615.0,91.0,22.0,3164.0,,480.0,,,,,,831.0,,65.0,16.0,23.0,8.0,
2017-05-26,3.0,165.0,163.0,15.0,532.0,60.0,10.0,2978.0,,509.0,,,,,,869.0,,83.0,17.0,17.0,6.0,
2017-05-27,9.0,131.0,163.0,23.0,685.0,59.0,17.0,2618.0,,443.0,,,,,,737.0,,76.0,21.0,19.0,14.0,
2017-05-28,6.0,131.0,150.0,36.0,684.0,60.0,10.0,2675.0,,408.0,,,,,,895.0,,95.0,15.0,17.0,12.0,
2017-05-29,6.0,133.0,147.0,24.0,428.0,76.0,35.0,2889.0,,460.0,,,,,,868.0,,77.0,26.0,13.0,13.0,
2017-05-30,10.0,151.0,195.0,31.0,586.0,82.0,17.0,3253.0,,513.0,,,,,,1030.0,,59.0,9.0,18.0,8.0,
2017-05-31,2.0,141.0,177.0,49.0,570.0,90.0,15.0,3159.0,,504.0,,,,,,955.0,,63.0,17.0,21.0,11.0,
2017-06-01,8.0,149.0,212.0,35.0,572.0,83.0,17.0,3059.0,,493.0,,,,,,844.0,,93.0,24.0,18.0,12.0,
2017-06-02,4.0,121.0,149.0,26.0,515.0,61.0,14.0,2675.0,,455.0,,,,,,781.0,,70.0,18.0,35.0,11.0,
2017-06-03,9.0,91.0,137.0,29.0,318.0,45.0,23.0,2339.0,,406.0,,,,,,649.0,,72.0,30.0,33.0,8.0,
2017-06-04,7.0,80.0,131.0,21.0,349.0,44.0,65.0,3033.0,,437.0,,,,,,876.0,,62.0,18.0,16.0,9.0,
2017-06-05,12.0,143.0,166.0,39.0,509.0,68.0,17.0,3260.0,,532.0,,,,,,960.0,,60.0,20.0,13.0,15.0,
2017-06-06,13.0,138.0,175.0,33.0,586.0,87.0,19.0,2891.0,,544.0,,,,,,890.0,,94.0,12.0,23.0,11.0,
2017-06-07,10.0,163.0,191.0,37.0,509.0,66.0,21.0,3005.0,,512.0,,,,,,956.0,,67.0,11.0,17.0,15.0,
2017-06-08,8.0,139.0,217.0,45.0,442.0,87.0,18.0,2973.0,,435.0,,,,,,907.0,,83.0,14.0,20.0,15.0,
2017-06-09,12.0,146.0,182.0,31.0,401.0,85.0,19.0,2770.0,,459.0,,,,,,793.0,,65.0,19.0,19.0,6.0,
2017-06-10,8.0,143.0,157.0,37.0,286.0,51.0,16.0,2342.0,,404.0,,,,,,663.0,,72.0,18.0,14.0,6.0,
2017-06-11,6.0,465.0,167.0,48.0,353.0,48.0,12.0,3444.0,,470.0,,,,,,789.0,,78.0,23.0,16.0,15.0,
2017-06-12,9.0,186.0,217.0,49.0,789.0,118.0,28.0,3164.0,,511.0,,,,,,1058.0,,69.0,17.0,32.0,12.0,
2017-06-13,8.0,183.0,229.0,33.0,407.0,62.0,26.0,2880.0,,839.0,,,,,,761.0,,84.0,22.0,25.0,5.0,
2017-06-14,6.0,127.0,185.0,45.0,424.0,94.0,20.0,2644.0,,527.0,,,,,,809.0,,74.0,17.0,15.0,4.0,
2017-06-15,10.0,162.0,222.0,27.0,434.0,83.0,52.0,3020.0,,520.0,,,,,,837.0,,64.0,16.0,15.0,11.0,
2017-06-16,2.0,145.0,150.0,21.0,506.0,75.0,16.0,2966.0,,533.0,,,,,,843.0,,56.0,23.0,28.0,13.0,
2017-06-17,6.0,116.0,143.0,25.0,516.0,69.0,13.0,2650.0,,460.0,,,,,,1009.0,,62.0,22.0,23.0,8.0,
2017-06-18,8.0,121.0,131.0,28.0,321.0,59.0,12.0,2487.0,,434.0,,,,,,958.0,,60.0,19.0,14.0,13.0,
2017-06-19,6.0,170.0,151.0,32.0,337.0,66.0,13.0,2795.0,,428.0,,,,,,1118.0,,75.0,22.0,19.0,13.0,
2017-06-20,7.0,147.0,164.0,48.0,374.0,60.0,21.0,3032.0,,438.0,,,,,,1015.0,,55.0,12.0,14.0,9.0,
2017-06-21,10.0,106.0,192.0,38.0,319.0,39.0,9.0,2887.0,,454.0,,,,,,882.0,,67.0,16.0,21.0,12.0,
2017-06-22,9.0,115.0,155.0,36.0,292.0,77.0,26.0,2778.0,,445.0,,,,,,823.0,,72.0,44.0,22.0,7.0,
2017-06-23,7.0,99.0,183.0,17.0,265.0,101.0,10.0,3254.0,,365.0,,,,,,859.0,,71.0,23.0,31.0,15.0,
2017-06-24,5.0,100.0,140.0,18.0,274.0,49.0,12.0,2375.0,,370.0,,,,,,680.0,,64.0,24.0,6.0,20.0,
2017-06-25,7.0,83.0,124.0,26.0,306.0,44.0,13.0,2491.0,,338.0,,,,,,866.0,,64.0,46.0,16.0,17.0,
2017-06-26,12.0,106.0,148.0,32.0,369.0,66.0,14.0,2647.0,,398.0,,,,,,818.0,,85.0,24.0,16.0,13.0,
2017-06-27,6.0,139.0,181.0,28.0,297.0,59.0,24.0,2695.0,,405.0,,,,,,839.0,,66.0,14.0,14.0,6.0,
2017-06-28,4.0,113.0,152.0,36.0,440.0,60.0,38.0,2744.0,,411.0,,,,,,851.0,,86.0,20.0,15.0,9.0,
2017-06-29,8.0,258.0,177.0,28.0,607.0,76.0,40.0,3235.0,,449.0,,,,,,959.0,,81.0,25.0,17.0,21.0,
2017-06-30,8.0,107.0,142.0,16.0,278.0,102.0,23.0,2476.0,,400.0,,,,,,713.0,,76.0,20.0,22.0,8.0,
2017-07-01,4.0,93.0,150.0,22.0,335.0,81.0,11.0,5212.0,,423.0,,,,,,814.0,,79.0,25.0,15.0,12.0,
2017-07-02,7.0,88.0,127.0,24.0,321.0,66.0,11.0,2725.0,,369.0,,,,,,784.0,,70.0,16.0,14.0,14.0,
2017-07-03,12.0,87.0,204.0,32.0,281.0,99.0,16.0,3179.0,,427.0,,,,,,747.0,,77.0,30.0,10.0,11.0,
2017-07-04,7.0,114.0,152.0,40.0,322.0,90.0,26.0,3226.0,,450.0,,,,,,1140.0,,68.0,43.0,16.0,12.0,
2017-07-05,7.0,126.0,195.0,25.0,328.0,177.0,16.0,3027.0,,401.0,,,,,,1009.0,,50.0,34.0,12.0,7.0,
2017-07-06,7.0,86.0,177.0,22.0,273.0,110.0,29.0,2626.0,,399.0,,,,,,821.0,,49.0,33.0,8.0,7.0,
2017-07-07,7.0,129.0,157.0,26.0,285.0,59.0,16.0,2631.0,,369.0,,,,,,942.0,,73.0,31.0,16.0,14.0,
2017-07-08,5.0,166.0,136.0,22.0,482.0,61.0,18.0,2519.0,,337.0,,,,,,1002.0,,60.0,21.0,16.0,2.0,
