,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,rw,en,en,en,en,en,en,en,en,en,en,en
,Rwanda,Paul_Kagame,Umuganda,Uburezi_mu_Rwanda,Kigali,Ubukungu_bw%27U_Rwanda,Ikinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina,Rwanda,Paul_Kagame,Umuganda,Education_in_Rwanda,Kigali,Economy_of_Rwanda,Kinyarwanda,Rose_Kabuye,Louise_Mushikiwabo,Agnes_Binagwaho,Paul_Rusesabagina
2017-04-02,83,,,,,,,,,,,3555,,,,,,,,,,
2017-04-03,68,,,,,,,,,,,3747,,,,,,,,,,
2017-04-04,95,,,,,,,,,,,3503,,,,,,,,,,
2017-04-05,71,,,,,,,,,,,3569,,,,,,,,,,
2017-04-06,70,,,,,,,,,,,5554,,,,,,,,,,
2017-04-07,201,,,,,,,,,,,5603,,,,,,,,,,
2017-04-08,87,,,,,,,,,,,3095,,,,,,,,,,
2017-04-09,93,,,,,,,,,,,4123,,,,,,,,,,
2017-04-10,106,,,,,,,,,,,3663,,,,,,,,,,
2017-04-11,93,,,,,,,,,,,3293,,,,,,,,,,
2017-04-12,138,,,,,,,,,,,3207,,,,,,,,,,
2017-04-13,131,,,,,,,,,,,3187,,,,,,,,,,
2017-04-14,98,,,,,,,,,,,2959,,,,,,,,,,
2017-04-15,115,,,,,,,,,,,2914,,,,,,,,,,
2017-04-16,73,,,,,,,,,,,3700,,,,,,,,,,
2017-04-17,92,,,,,,,,,,,3640,,,,,,,,,,
2017-04-18,94,,,,,,,,,,,3654,,,,,,,,,,
2017-04-19,80,,,,,,,,,,,3941,,,,,,,,,,
2017-04-20,173,,,,,,,,,,,5774,,,,,,,,,,
2017-04-21,77,,,,,,,,,,,3441,,,,,,,,,,
2017-04-22,75,,,,,,,,,,,3501,,,,,,,,,,
2017-04-23,68,,,,,,,,,,,3641,,,,,,,,,,
2017-04-24,68,,,,,,,,,,,3843,,,,,,,,,,
2017-04-25,71,,,,,,,,,,,3729,,,,,,,,,,
2017-04-26,68,,,,,,,,,,,3598,,,,,,,,,,
2017-04-27,84,,,,,,,,,,,3288,,,,,,,,,,
2017-04-28,57,,,,,,,,,,,3036,,,,,,,,,,
2017-04-29,83,,,,,,,,,,,2940,,,,,,,,,,
2017-04-30,68,,,,,,,,,,,4163,,,,,,,,,,
2017-05-01,109,,,,,,,,,,,3247,,,,,,,,,,
2017-05-02,133,,,,,,,,,,,3289,,,,,,,,,,
2017-05-03,104,,,,,,,,,,,3984,,,,,,,,,,
2017-05-04,79,,,,,,,,,,,3522,,,,,,,,,,
2017-05-05,76,,,,,,,,,,,3204,,,,,,,,,,
2017-05-06,102,,,,,,,,,,,2760,,,,,,,,,,
2017-05-07,91,,,,,,,,,,,2891,,,,,,,,,,
2017-05-08,74,,,,,,,,,,,3567,,,,,,,,,,
2017-05-09,70,,,,,,,,,,,3504,,,,,,,,,,
2017-05-10,87,,,,,,,,,,,4439,,,,,,,,,,
2017-05-11,85,,,,,,,,,,,4347,,,,,,,,,,
2017-05-12,108,,,,,,,,,,,3391,,,,,,,,,,
2017-05-13,83,,,,,,,,,,,4796,,,,,,,,,,
2017-05-14,98,,,,,,,,,,,2844,,,,,,,,,,
2017-05-15,67,,,,,,,,,,,3607,,,,,,,,,,
2017-05-16,76,,,,,,,,,,,3460,,,,,,,,,,
2017-05-17,82,,,,,,,,,,,3925,,,,,,,,,,
2017-05-18,86,,,,,,,,,,,4698,,,,,,,,,,
2017-05-19,100,,,,,,,,,,,3155,,,,,,,,,,
2017-05-20,91,,,,,,,,,,,3004,,,,,,,,,,
2017-05-21,68,,,,,,,,,,,3061,,,,,,,,,,
2017-05-22,93,,,,,,,,,,,5420,,,,,,,,,,
2017-05-23,107,,,,,,,,,,,3194,,,,,,,,,,
2017-05-24,112,,,,,,,,,,,3127,,,,,,,,,,
2017-05-25,65,,,,,,,,,,,3164,,,,,,,,,,
2017-05-26,83,,,,,,,,,,,2978,,,,,,,,,,
2017-05-27,76,,,,,,,,,,,2618,,,,,,,,,,
2017-05-28,95,,,,,,,,,,,2675,,,,,,,,,,
2017-05-29,77,,,,,,,,,,,2889,,,,,,,,,,
2017-05-30,59,,,,,,,,,,,3253,,,,,,,,,,
2017-05-31,63,,,,,,,,,,,3159,,,,,,,,,,
2017-06-01,93,,,,,,,,,,,3059,,,,,,,,,,
2017-06-02,70,,,,,,,,,,,2675,,,,,,,,,,
2017-06-03,72,,,,,,,,,,,2339,,,,,,,,,,
